cohort,cohort_first_order_in_homes,first_month,commitment,non_commitment,price_bucket_0_60,price_bucket_61_97,price_bucket_90_inf,known_price_commitment,unknown_price_commitment
317,1/30/23,1,0.66460000000000,0.33540000000000,0.27930009904259,0.03906679872345,0.68163310223396,0.90870000000000,0.09130000000000
318,2/6/23,2,0.69280000000000,0.30720000000000,0.25932035631805,0.24997250632355,0.49070713735841,0.90930000000000,0.09070000000000
319,2/13/23,2,0.67680000000000,0.32320000000000,0.25811795891319,0.15827258670201,0.58360945438480,0.90540000000000,0.09460000000000
320,2/20/23,2,0.70530000000000,0.29470000000000,0.25704791510344,0.07085432522242,0.67209775967413,0.93290000000000,0.06710000000000
321,2/27/23,2,0.69050000000000,0.30950000000000,0.15991589198761,0.01936697653829,0.82071713147410,0.90360000000000,0.09640000000000
322,3/6/23,3,0.66300000000000,0.33700000000000,0.11113539503879,0.00764943721998,0.88121516774123,0.91510000000000,0.08490000000000
323,3/13/23,3,0.68230000000000,0.31770000000000,0.09527981601139,0.00733764100318,0.89738254298543,0.91310000000000,0.08690000000000
324,3/20/23,3,0.68600000000000,0.31400000000000,0.14075585140649,0.05561520292034,0.80362894567318,0.93140000000000,0.06860000000000
325,3/27/23,3,0.72000000000000,0.28000000000000,0.36096718480138,0.10362694300518,0.53540587219344,0.92640000000000,0.07360000000000
326,4/3/23,4,0.85550000000000,0.14450000000000,0.55554406288788,0.01117087298304,0.43328506412909,0.96680000000000,0.03320000000000
327,4/10/23,4,0.84290000000000,0.15710000000000,0.68406131877363,0.00703485930281,0.30890382192356,0.95240000000000,0.04760000000000
328,4/17/23,4,0.71820000000000,0.28180000000000,0.24104623399175,0.00000000000000,0.75895376600825,0.92140000000000,0.07860000000000
329,4/24/23,4,0.66930000000000,0.33070000000000,0.17672828293621,0.00416711187093,0.81910460519286,0.93590000000000,0.06410000000000
330,5/1/23,5,0.66810000000000,0.33190000000000,0.11931818181818,0.00900514579760,0.87167667238422,0.93280000000000,0.06720000000000
331,5/8/23,5,0.68970000000000,0.31030000000000,0.12600106780566,0.00971703150027,0.86428190069407,0.93650000000000,0.06350000000000
332,5/15/23,5,0.74480000000000,0.25520000000000,0.07454603376872,0.03270680683870,0.89274715939259,0.94170000000000,0.05830000000000
333,5/22/23,5,0.69450000000000,0.30550000000000,0.19283715724678,0.03379966424175,0.77336317851147,0.89350000000000,0.10650000000000
334,5/29/23,5,0.74790000000000,0.25210000000000,0.11362910947973,0.01063942972657,0.87573146079370,0.93990000000000,0.06010000000000
335,6/5/23,6,0.85620000000000,0.14380000000000,0.54682654537937,0.00196402728964,0.45120942733099,0.96740000000000,0.03260000000000
336,6/12/23,6,0.84590000000000,0.15410000000000,0.47988092794088,0.00000000000000,0.52011907205913,0.97420000000000,0.02580000000000
337,6/19/23,6,0.72040000000000,0.27960000000000,0.25555315937028,0.00679318524908,0.73765365538063,0.92740000000000,0.07260000000000
338,6/26/23,6,0.68620000000000,0.31380000000000,0.22635283765948,0.02694676638803,0.74670039595249,0.90920000000000,0.09080000000000
339,7/3/23,7,0.71560000000000,0.28440000000000,0.09672184355729,0.08936492480796,0.81391323163475,0.92430000000000,0.07570000000000
340,7/10/23,7,0.66940000000000,0.33060000000000,0.22990821580479,0.02686366689053,0.74322811730468,0.89340000000000,0.10660000000000
341,7/17/23,7,0.77010000000000,0.22990000000000,0.42515034364261,0.06303694158076,0.51181271477663,0.93120000000000,0.06880000000000
342,7/24/23,7,0.69980000000000,0.30020000000000,0.22944356837126,0.09709394007659,0.67346249155215,0.88772845953003,0.11227154046997
343,7/31/23,7,0.85330000000000,0.14670000000000,0.45795188418139,0.01500958058335,0.52703853523526,0.94076163610719,0.05923836389281
344,8/7/23,8,0.90160000000000,0.09840000000000,0.51169950738916,0.00061576354680,0.48768472906404,0.97438816163916,0.02561183836084
345,8/14/23,8,0.80320000000000,0.19680000000000,0.24304585973580,0.00000000000000,0.75695414026420,0.93111931119311,0.06888068880689
346,8/21/23,8,0.89150000000000,0.10850000000000,0.23839882943144,0.00261287625418,0.75898829431438,0.95807644882861,0.04192355117139
347,8/28/23,8,0.92320000000000,0.07680000000000,0.43181092302779,0.00000000000000,0.56818907697221,0.93933649289100,0.06066350710900
348,9/4/23,9,0.94600000000000,0.05400000000000,0.55636439267887,0.00000000000000,0.44363560732113,0.96170442286947,0.03829557713053
349,9/11/23,9,0.96270000000000,0.03730000000000,0.64290129816608,0.00267875540903,0.35441994642489,0.97063978965820,0.02936021034181
350,9/18/23,9,0.92980000000000,0.07020000000000,0.38386099562946,0.28451124613581,0.33162775823473,0.93905817174515,0.06094182825485
351,9/25/23,9,0.91200000000000,0.08800000000000,0.29326458266194,0.36072617896659,0.34600923837147,0.93081761006289,0.06918238993711
352,10/2/23,10,0.91330000000000,0.08670000000000,0.29560000000000,0.35600000000000,0.34840000000000,0.92867132867133,0.07132867132867
353,10/9/23,10,0.92620000000000,0.07380000000000,0.24400000000000,0.36950000000000,0.38650000000000,0.93535620052771,0.06464379947230
354,10/16/23,10,0.94680000000000,0.05320000000000,0.44410000000000,0.51990000000000,0.03600000000000,0.95311091073039,0.04688908926961
355,10/23/23,10,0.94350000000000,0.05650000000000,0.34910000000000,0.50180000000000,0.14910000000000,0.94763092269327,0.05236907730673
356,10/30/23,10,0.94460000000000,0.05540000000000,0.23390000000000,0.47850000000000,0.28760000000000,0.95022624434389,0.04977375565611
357,11/6/23,11,0.92980000000000,0.07020000000000,0.26380000000000,0.37290000000000,0.36330000000000,0.94148244473342,0.05851755526658
358,11/13/23,11,0.93780000000000,0.06220000000000,0.22950000000000,0.35230000000000,0.41820000000000,0.94453781512605,0.05546218487395
359,11/20/23,11,0.95040000000000,0.04960000000000,0.31900000000000,0.21150000000000,0.46950000000000,0.95726495726496,0.04273504273504
360,11/27/23,11,0.97550000000000,0.02450000000000,0.45460000000000,0.01800000000000,0.52740000000000,0.98112398112398,0.01887601887602
361,12/4/23,12,0.97198673055658,0.02801326944342,0.52201731275875,0.00752728641325,0.47045540082800,0.97935864356801,0.02064135643199
362,12/11/23,12,0.95240700218818,0.04759299781182,0.52592592592593,0.00398860398860,0.47008547008547,0.96006564551422,0.03993435448578
363,12/18/23,12,0.93784683684795,0.06215316315205,0.51635514018692,0.00233644859813,0.48130841121495,0.95005549389567,0.04994450610433
